control_num,Plant Name
1,Angelonia
1,Basil
1,Beggonia (Outdoor)
1,Borage
1,Brachychiton (Bottle Tree)
1,Cabbage
1,Calla Lily
1,Catmint
1,Cherry Blossom
1,Chives
1,Cilantro
1,Cornflower
1,Croton
1,Cucumbers
1,Daffodil
1,Dandelion
1,Dianthus
1,Fennel
1,Hops
1,Lemon Grass
1,Lemon Tree
1,Lilac Bush
1,Magnolia
1,Pansy
1,Peepal Tree
1,Petunia
1,Quaking Aspen
1,Radish
1,Red Maple
1,River Birch
1,Snowdrop
1,Stevia
1,Tuberose
1,Tuberose (Polianthes)
1,Tulsi (Holy Basil)
1,Viola
1,Wisteria
1,Zucchini
2,Ageratum
2,Alyssum
2,Aster
2,Begonia (Outdoor)
2,Bellflower
2,Bluebell
2,Calendula
2,Canna Lily
2,Catmint
2,Chayote
2,Chestnut
2,Chrysanthemum
2,Coneflower
2,Coreopsis
2,Crocus
2,Daffodil
2,Dahlia
2,Dandelion
2,Date Palm
2,Echinacea
2,Elderberry
2,Fennel
2,Gardenia
2,Gerbera Daisy
2,Grape Vine
2,Green Bean
2,Guava
2,Heliotrope
2,Hollyhock
2,Hops
2,Hummingbird Sage
2,Iris
2,Jacaranda
2,Jackfruit
2,Jasmine (Outdoor)
2,Jatropha
2,Kalanchoe
2,Kiwi Vine
2,Lavender (French)
2,Lemon Balm
2,Lemongrass
2,Lilac
2,Litchi
2,Luffa
2,Lychee
2,Malva (Mallow)
2,Mango
2,Mimosa
2,Moringa
2,Morning Glory
2,Mulberry
2,Nasturtium
2,Nettle
2,Olive Tree
2,Oregano
2,Passionflower
2,Peony
2,Pepper Plant
2,Periwinkle
2,Petunia
2,Phlox
2,Pomegranate
2,Potato Vine
2,Protea
2,Purslane
2,Quince
2,Red Hot Poker (Kniphofia)
2,Rudbeckia
2,Sage
2,Sago Palm
2,Salvia
2,Snapdragon
2,Spider Flower
2,Star Jasmine
2,Strawberry Plant
2,Sugarcane
2,Sunflower
2,Sweet Basil
2,Sweet Pea
2,Sweet Potato Vine
2,Thyme
2,Tiger Lily
2,Tomato
2,Tuberose
2,Verbena
2,Zinnia
3,Achillea (Yarrow)
3,Calendula
3,Carob Tree
3,Chrysanthemum
3,Cockscomb (Celosia)
3,Engelmann Spruce
3,Geranium
3,Hibiscus
3,Lavender (English)
3,Marigold
3,Petunia
3,Phlox
3,Sage
4,Alyssum
4,Anemone
4,Astilbe
4,Bee Balm
4,Bleeding Heart
4,Bluebell
4,Cineraria
4,Clematis
4,Foxglove
4,Galangal
4,Japanese Maple
4,Lobelia
4,Mint
4,Pansy
4,Parsley
4,Toad Lily
4,Viola
5,Clematis
5,Columbine
5,Ficus Microcarpa
5,Foxglove
5,Fuchsia
5,Hosta
5,Japanese Anemone
5,Larkspur
5,Lemon Balm
5,Nandina (Heavenly Bamboo)
5,Periwinkle
5,Red-leafed Maple
5,Sedge
5,Stevia
7,African Violet
7,Bamboo Orchid
7,Begonia
7,Cineraria
7,Devil?s Ivy
7,Hosta
7,Impatiens
7,Ivy
7,Jade Pothos
7,Pothos (Golden Pathos)
8,Bamboo Palm
8,Begonia
8,Begonia (Indoor)
8,Bromeliad
8,Chinese Evergreen
8,Clivia
8,Fuchsia
8,Lotus Bamboo
8,Orchids
8,Peperomia
8,Swedish Ivy
8,Wandering Jew
9,Bromeliad
9,Fern (Boston)
9,Ficus Benjamina
9,Fiddle Leaf Fig
9,Money Plant
9,Peace Lily
9,Pothos
9,Rubber Plant
